FEloop,Hfield,V,R,sigma
30%MnS6RxxH3K,Field,Rx1,Rx2,
Temp,,,,
3.00017,-63967.53516,0.16873,-2.54823,#SPILL!
3.00017,-63857.63672,0.16882,-2.49509,#SPILL!
3.00017,-63747.75391,0.16873,-2.54823,#SPILL!
3.00017,-63659.80469,0.16873,-2.54823,#SPILL!
3.00017,-63550.09766,0.16873,-2.54823,#SPILL!
3.00017,-63462.14453,0.16882,-2.49509,#SPILL!
3.00017,-63352.34375,0.16891,-2.44195,#SPILL!
3.00017,-63242.46484,0.16891,-2.44195,#SPILL!
3.00017,-63154.63672,0.16882,-2.49509,#SPILL!
3.00017,-63022.85938,0.16882,-2.49509,#SPILL!
3.00017,-62935.04297,0.16882,-2.49509,#SPILL!
3.00017,-62825.11328,0.16864,-2.60136,#SPILL!
3.00017,-62737.23828,0.16882,-2.49509,#SPILL!
3.00017,-62627.31641,0.16882,-2.49509,#SPILL!
3.00017,-62517.43359,0.16882,-2.49509,#SPILL!
3.00017,-62407.76563,0.16882,-2.49509,#SPILL!
3.00017,-62297.99609,0.16882,-2.49509,#SPILL!
3.00017,-62209.98047,0.16873,-2.54823,#SPILL!
3.00017,-62100.27734,0.16873,-2.54823,#SPILL!
3.00017,-61990.37891,0.16891,-2.44195,#SPILL!
3.00017,-61880.64453,0.16882,-2.49509,#SPILL!
3.00017,-61792.61328,0.169,-2.38882,#SPILL!
3.00017,-61682.70703,0.16873,-2.54823,#SPILL!
3.00017,-61572.80469,0.16873,-2.54823,#SPILL!
3.00017,-61484.90234,0.16864,-2.60136,#SPILL!
3.00017,-61375.23828,0.16882,-2.49509,#SPILL!
3.00017,-61287.58594,0.16882,-2.49509,#SPILL!
3.00017,-61177.54688,0.16891,-2.44195,#SPILL!
3.00017,-61067.92969,0.16873,-2.54823,#SPILL!
3.00017,-60979.875,0.16873,-2.54823,#SPILL!
3.00017,-60848.05859,0.16891,-2.44195,#SPILL!
3.00017,-60759.95313,0.16873,-2.54823,#SPILL!
3.00017,-60650.38281,0.16882,-2.49509,#SPILL!
3.00017,-60540.38672,0.16873,-2.54823,#SPILL!
3.00017,-60430.55859,0.16873,-2.54823,#SPILL!
3.00017,-60342.55078,0.16891,-2.44195,#SPILL!
3.00017,-60232.60938,0.16882,-2.49509,#SPILL!
3.00017,-60122.84375,0.169,-2.38882,#SPILL!
3.00017,-60012.83984,0.16873,-2.54823,#SPILL!
3.00017,-59925.05078,0.16882,-2.49509,#SPILL!
3.00017,-59815.15625,0.16891,-2.44195,#SPILL!
3.00017,-59705.30078,0.16891,-2.44195,#SPILL!
3.00017,-59595.55078,0.16882,-2.49509,#SPILL!
3.00017,-59507.80078,0.16873,-2.54823,#SPILL!
3.00017,-59397.85938,0.16882,-2.49509,#SPILL!
3.00017,-59288,0.169,-2.38882,#SPILL!
3.00017,-59178.07031,0.16882,-2.49509,#SPILL!
3.00017,-59090.25781,0.16891,-2.44195,#SPILL!
3.00017,-58980.27734,0.16873,-2.54823,#SPILL!
3.00017,-58870.60156,0.16882,-2.49509,#SPILL!
3.00017,-58760.64844,0.16891,-2.44195,#SPILL!
3.00017,-58672.91406,0.16882,-2.49509,#SPILL!
3.00017,-58584.98828,0.16882,-2.49509,#SPILL!
3.00017,-58453.29688,0.16891,-2.44195,#SPILL!
3.00017,-58365.375,0.16891,-2.44195,#SPILL!
3.00017,-58255.51953,0.169,-2.38882,#SPILL!
3.00017,-58145.52344,0.16882,-2.49509,#SPILL!
3.00017,-58035.81641,0.16882,-2.49509,#SPILL!
3.00017,-57925.98047,0.169,-2.38882,#SPILL!
3.00017,-57838.09766,0.16891,-2.44195,#SPILL!
3.00017,-57728.44141,0.16891,-2.44195,#SPILL!
3.00017,-57618.41797,0.16891,-2.44195,#SPILL!
3.00017,-57530.72266,0.16891,-2.44195,#SPILL!
3.00017,-57420.77344,0.16891,-2.44195,#SPILL!
3.00017,-57310.76563,0.16891,-2.44195,#SPILL!
3.00017,-57200.99219,0.16882,-2.49509,#SPILL!
3.00017,-57091.11719,0.169,-2.38882,#SPILL!
3.00017,-57003.38672,0.1691,-2.33568,#SPILL!
3.00017,-56893.39844,0.16882,-2.49509,#SPILL!
3.00017,-56783.46094,0.16891,-2.44195,#SPILL!
3.00017,-56695.68359,0.16882,-2.49509,#SPILL!
3.00017,-56585.96094,0.16891,-2.44195,#SPILL!
3.00017,-56476.11719,0.16891,-2.44195,#SPILL!
3.00017,-56388.08984,0.16891,-2.44195,#SPILL!
3.00017,-56278.25391,0.16873,-2.54823,#SPILL!
3.00017,-56168.36328,0.16891,-2.44195,#SPILL!
3.00017,-56058.64063,0.16882,-2.49509,#SPILL!
3.00017,-55970.875,0.16882,-2.49509,#SPILL!
3.00017,-55860.96875,0.16891,-2.44195,#SPILL!
3.00017,-55751.26563,0.16891,-2.44195,#SPILL!
3.00017,-55641.32813,0.16891,-2.44195,#SPILL!
3.00017,-55553.52734,0.1691,-2.33568,#SPILL!
3.00017,-55443.69922,0.16891,-2.44195,#SPILL!
3.00017,-55333.88672,0.169,-2.38882,#SPILL!
3.00017,-55223.96875,0.16873,-2.54823,#SPILL!
3.00017,-55136.16797,0.16882,-2.49509,#SPILL!
3.00017,-55004.25781,0.16891,-2.44195,#SPILL!
3.00017,-54916.53906,0.16891,-2.44195,#SPILL!
3.00017,-54806.74609,0.169,-2.38882,#SPILL!
3.00017,-54696.76172,0.169,-2.38882,#SPILL!
3.00017,-54609.01563,0.16891,-2.44195,#SPILL!
3.00017,-54499.10547,0.169,-2.38882,#SPILL!
3.00017,-54389.29688,0.1691,-2.33568,#SPILL!
3.00017,-54279.30469,0.169,-2.38882,#SPILL!
3.00017,-54169.89063,0.169,-2.38882,#SPILL!
3.00017,-54081.85156,0.16891,-2.44195,#SPILL!
3.00017,-53972.04297,0.16891,-2.44195,#SPILL!
3.00017,-53862.16016,0.16891,-2.44195,#SPILL!
3.00017,-53752.49219,0.16891,-2.44195,#SPILL!
3.00017,-53664.36328,0.169,-2.38882,#SPILL!
3.00017,-53554.64063,0.16891,-2.44195,#SPILL!
3.00017,-53466.61719,0.1691,-2.33568,#SPILL!
3.00017,-53356.61328,0.16891,-2.44195,#SPILL!
3.00017,-53246.55078,0.169,-2.38882,#SPILL!
3.00017,-53158.65234,0.16891,-2.44195,#SPILL!
3.00017,-53048.78906,0.169,-2.38882,#SPILL!
3.00017,-52938.99219,0.169,-2.38882,#SPILL!
3.00017,-52829.07422,0.16891,-2.44195,#SPILL!
3.00017,-52719.27734,0.16919,-2.28255,#SPILL!
3.00017,-52631.51172,0.16891,-2.44195,#SPILL!
